nom,prix,ancien_prix,remise_pct,url,image_url,site,categorie,date_scraping,en_promotion,gamme_prix,product_id
SAGESUND,7295.0,,0.0,https://www.ikea.com/ma/fr/p/sagesund-cadre-de-lit-matelasse-graesbo-blanc-loenset-s89502692/,https://www.ikea.com/ma/fr/images/products/sagesund-cadre-de-lit-matelasse-graesbo-blanc-loenset__1193863_pe902232_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:58,False,Premium (4000-10k),ikea_328
SKYTTA / PAX,16060.0,,0.0,https://www.ikea.com/ma/fr/p/skytta-pax-dressing-avec-portes-coulissantes-noir-gris-fonce-mehamn-vert-clair-s89552502/,https://www.ikea.com/ma/fr/images/products/skytta-pax-dressing-avec-portes-coulissantes-noir-gris-fonce-mehamn-vert-clair__1294598_pe935520_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:06,False,Luxe (>10k),ikea_361
ÅNNELAND,7795.0,,0.0,https://www.ikea.com/ma/fr/p/anneland-matelas-hybride-ferme-blanc-70511111/,https://www.ikea.com/ma/fr/images/products/anneland-matelas-hybride-ferme-blanc__1015263_pe829963_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Premium (4000-10k),ikea_371
PAX / AULI,8270.0,,0.0,https://www.ikea.com/ma/fr/p/pax-auli-armoire-pte-coul-blanc-miroir-s59561305/,https://www.ikea.com/ma/fr/images/products/pax-auli-armoire-pte-coul-blanc-miroir__1150965_pe884693_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:13,False,Premium (4000-10k),ikea_379
KNARREVIK,229.0,,0.0,https://www.ikea.com/ma/fr/p/knarrevik-table-chevet-noir-20569977/,https://www.ikea.com/ma/fr/images/products/knarrevik-table-chevet-noir__1255278_pe924478_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:07,False,Entrée (<500),ikea_385
VITARNA,2895.0,,0.0,https://www.ikea.com/ma/fr/p/vitarna-structure-lit-a-baldaquin-blanc-60573680/,https://www.ikea.com/ma/fr/images/products/vitarna-structure-lit-a-baldaquin-blanc__1339949_pe948465_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:56,False,Milieu (1500-4000),ikea_394
PAX / FORSAND/ÅHEIM,4700.0,,0.0,https://www.ikea.com/ma/fr/p/pax-forsand-aheim-combinaison-armoire-blanc-blanc-miroir-s89621256/,https://www.ikea.com/ma/fr/images/products/pax-forsand-aheim-combinaison-armoire-blanc-blanc-miroir__1512413_pe1010344_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:13,False,Premium (4000-10k),ikea_399
NISSEHOLM,1795.0,,0.0,https://www.ikea.com/ma/fr/p/nisseholm-surmatelas-blanc-00558404/,https://www.ikea.com/ma/fr/images/products/nisseholm-surmatelas-blanc__1257456_pe925828_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Milieu (1500-4000),ikea_405
AULI / MEHAMN,5050.0,,0.0,https://www.ikea.com/ma/fr/p/auli-mehamn-jeu-2-ptes-coul-aluminium-miroir-double-face-motif-chene-s99615801/,https://www.ikea.com/ma/fr/images/products/auli-mehamn-jeu-2-ptes-coul-aluminium-miroir-double-face-motif-chene__1476802_pe999030_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:54,False,Premium (4000-10k),ikea_408
TUFJORD,7599.0,,0.0,https://www.ikea.com/ma/fr/p/tufjord-cadre-de-lit-matelasse-tallmyra-bleu-noir-luroey-s99555294/,https://www.ikea.com/ma/fr/images/products/tufjord-cadre-de-lit-matelasse-tallmyra-bleu-noir-luroey__1259492_pe926697_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:56,False,Premium (4000-10k),ikea_415
KOPPANG,1595.0,,0.0,https://www.ikea.com/ma/fr/p/koppang-commode-3-tiroirs-blanc-10385950/,https://www.ikea.com/ma/fr/images/products/koppang-commode-3-tiroirs-blanc__0651169_pe706781_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:09,False,Milieu (1500-4000),ikea_419
JÄTTETRÖTT,949.0,,0.0,https://www.ikea.com/ma/fr/p/jaettetroett-matelas-ressorts-ensaches-lit-bebe-blanc-10593398/,https://www.ikea.com/ma/fr/images/products/jaettetroett-matelas-ressorts-ensaches-lit-bebe-blanc__1451267_pe990656_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Économique (500-1500),ikea_438
VÅGSTRANDA,5995.0,,0.0,https://www.ikea.com/ma/fr/p/vagstranda-matelas-a-ressorts-ensaches-extra-ferme-bleu-clair-80470370/,https://www.ikea.com/ma/fr/images/products/vagstranda-matelas-a-ressorts-ensaches-extra-ferme-bleu-clair__1150860_pe884902_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Premium (4000-10k),ikea_442
VILHATTEN,3495.0,,0.0,https://www.ikea.com/ma/fr/p/vilhatten-penderie-avec-2-portes-et-2-tiroirs-motif-chene-70530609/,https://www.ikea.com/ma/fr/images/products/vilhatten-penderie-avec-2-portes-et-2-tiroirs-motif-chene__1163155_pe890133_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:16,False,Milieu (1500-4000),ikea_446
STOMSÖ,495.0,,0.0,https://www.ikea.com/ma/fr/p/stomsoe-table-de-chevet-a-fixer-au-mur-motif-bouleau-blanc-bleu-70567805/,https://www.ikea.com/ma/fr/images/products/stomsoe-table-de-chevet-a-fixer-au-mur-motif-bouleau-blanc-bleu__1270836_pe929403_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:07,False,Entrée (<500),ikea_454
ÅBYGDA,1999.0,,0.0,https://www.ikea.com/ma/fr/p/abygda-matelas-en-mousse-ferme-blanc-50481488/,https://www.ikea.com/ma/fr/images/products/abygda-matelas-en-mousse-ferme-blanc__1015274_pe829966_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Milieu (1500-4000),ikea_480
LÄNGDHOPP,1499.0,,0.0,https://www.ikea.com/ma/fr/p/laengdhopp-bureau-coulissant-blanc-30587080/,https://www.ikea.com/ma/fr/images/products/laengdhopp-bureau-coulissant-blanc__1503658_pe1007941_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:00,False,Économique (500-1500),ikea_496
SYVDE,1895.0,,0.0,https://www.ikea.com/ma/fr/p/syvde-coiffeuse-blanc-80430746/,https://www.ikea.com/ma/fr/images/products/syvde-coiffeuse-blanc__0747849_pe753575_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:00,False,Milieu (1500-4000),ikea_498
BOAXEL,1100.0,,0.0,https://www.ikea.com/ma/fr/p/boaxel-combinaison-armoire-blanc-s49332357/,https://www.ikea.com/ma/fr/images/products/boaxel-combinaison-armoire-blanc__0802040_pe770054_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:09,False,Économique (500-1500),ikea_500
NÄSTABERG,2995.0,,0.0,https://www.ikea.com/ma/fr/p/naestaberg-surmatelas-blanc-30559628/,https://www.ikea.com/ma/fr/images/products/naestaberg-surmatelas-blanc__1271188_pe929421_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Milieu (1500-4000),ikea_526
UNDERLIG,799.0,,0.0,https://www.ikea.com/ma/fr/p/underlig-matelas-mousse-pour-lit-enfant-blanc-60593758/,https://www.ikea.com/ma/fr/images/products/underlig-matelas-mousse-pour-lit-enfant-blanc__1451331_pe990688_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Économique (500-1500),ikea_538
PAX / ÅHEIM,2810.0,,0.0,https://www.ikea.com/ma/fr/p/pax-aheim-combinaison-armoire-blanc-miroir-s49502321/,https://www.ikea.com/ma/fr/images/products/pax-aheim-combinaison-armoire-blanc-miroir__1196800_pe903210_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:13,False,Milieu (1500-4000),ikea_549
ÖMSINT,1995.0,,0.0,https://www.ikea.com/ma/fr/p/oemsint-matelas-ressorts-ensaches-lit-app-10593751/,https://www.ikea.com/ma/fr/images/products/oemsint-matelas-ressorts-ensaches-lit-app__1451398_pe990716_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Milieu (1500-4000),ikea_557
KULLEN,1399.0,,0.0,https://www.ikea.com/ma/fr/p/kullen-commode-5-tiroirs-blanc-20393662/,https://www.ikea.com/ma/fr/images/products/kullen-commode-5-tiroirs-blanc__0393316_pe562524_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:09,False,Économique (500-1500),ikea_628
ÅKREHAMN,5395.0,,0.0,https://www.ikea.com/ma/fr/p/akrehamn-matelas-en-mousse-mi-ferme-blanc-60481652/,https://www.ikea.com/ma/fr/images/products/akrehamn-matelas-en-mousse-mi-ferme-blanc__1015271_pe829965_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Premium (4000-10k),ikea_638
